Starting data collection at: 1524031202986
Connecting to database...
Connected
Spotify access token retrieved
Selected 234862 IDs from artist_info table
1524031204718: 234862 artists left
1524031205720: 234812 artists left
1524031206722: 234762 artists left
1524031207727: 234712 artists left
1524031208729: 234662 artists left
1524031209731: 234612 artists left
1524031210742: 234562 artists left
1524031211744: 234512 artists left
1524031212746: 234462 artists left
1524031213748: 234412 artists left
1524031214749: 234362 artists left
1524031215751: 234312 artists left
1524031216752: 234262 artists left
1524031217754: 234212 artists left
1524031218756: 234162 artists left
1524031219756: 234112 artists left
1524031220758: 234062 artists left
1524031221759: 234012 artists left
1524031222761: 233962 artists left
1524031223763: 233912 artists left
1524031224765: 233862 artists left
1524031225766: 233812 artists left
1524031226768: 233762 artists left
1524031227770: 233712 artists left
1524031228771: 233662 artists left
1524031229772: 233612 artists left
1524031230773: 233562 artists left
1524031231775: 233512 artists left
1524031232777: 233462 artists left
1524031233778: 233412 artists left
1524031234780: 233362 artists left
1524031235781: 233312 artists left
1524031236782: 233262 artists left
1524031237784: 233212 artists left
1524031238785: 233162 artists left
1524031239786: 233112 artists left
1524031240787: 233062 artists left
1524031241789: 233012 artists left
1524031242791: 232962 artists left
1524031243792: 232912 artists left
1524031244794: 232862 artists left
1524031245795: 232812 artists left
1524031246796: 232762 artists left
1524031247799: 232712 artists left
1524031248800: 232662 artists left
1524031249801: 232612 artists left
1524031250803: 232562 artists left
1524031251804: 232512 artists left
1524031252808: 232462 artists left
1524031253810: 232412 artists left
1524031254812: 232362 artists left
1524031255813: 232312 artists left
1524031256814: 232262 artists left
1524031257817: 232212 artists left
1524031258825: 232162 artists left
1524031259827: 232112 artists left
1524031260829: 232062 artists left
1524031261830: 232012 artists left
1524031262832: 231962 artists left
1524031263833: 231912 artists left
1524031264834: 231862 artists left
1524031265835: 231812 artists left
1524031266837: 231762 artists left
1524031267839: 231712 artists left
1524031268841: 231662 artists left
1524031269843: 231612 artists left
1524031270843: 231562 artists left
1524031271844: 231512 artists left
1524031272847: 231462 artists left
1524031273849: 231412 artists left
1524031274850: 231362 artists left
1524031275851: 231312 artists left
1524031276853: 231262 artists left
1524031277856: 231212 artists left
1524031278858: 231162 artists left
1524031279861: 231112 artists left
1524031280862: 231062 artists left
1524031281863: 231012 artists left
1524031282866: 230962 artists left
1524031283867: 230912 artists left
1524031284868: 230862 artists left
1524031285869: 230812 artists left
1524031286870: 230762 artists left
1524031287872: 230712 artists left
1524031288874: 230662 artists left
1524031289875: 230612 artists left
1524031290875: 230562 artists left
1524031291877: 230512 artists left
1524031292880: 230462 artists left
1524031293882: 230412 artists left
1524031294884: 230362 artists left
1524031295886: 230312 artists left
1524031296888: 230262 artists left
1524031297892: 230212 artists left
1524031298895: 230162 artists left
1524031299896: 230112 artists left
1524031300898: 230062 artists left
1524031301899: 230012 artists left
1524031302901: 229962 artists left
1524031303902: 229912 artists left
1524031304903: 229862 artists left
1524031305904: 229812 artists left
1524031306905: 229762 artists left
1524031307907: 229712 artists left
1524031308908: 229662 artists left
1524031309909: 229612 artists left
1524031310910: 229562 artists left
1524031311911: 229512 artists left
1524031312913: 229462 artists left
1524031313914: 229412 artists left
1524031314915: 229362 artists left
1524031315916: 229312 artists left
1524031316917: 229262 artists left
1524031317919: 229212 artists left
1524031318922: 229162 artists left
1524031319922: 229112 artists left
1524031320933: 229062 artists left
1524031321934: 229012 artists left
1524031322935: 228962 artists left
1524031323937: 228912 artists left
1524031324938: 228862 artists left
1524031325939: 228812 artists left
1524031326940: 228762 artists left
1524031327942: 228712 artists left
1524031328944: 228662 artists left
1524031329945: 228612 artists left
1524031330945: 228562 artists left
1524031331947: 228512 artists left
1524031332949: 228462 artists left
1524031333951: 228412 artists left
1524031334952: 228362 artists left
1524031335953: 228312 artists left
1524031336955: 228262 artists left
1524031337957: 228212 artists left
1524031338957: 228162 artists left
1524031339959: 228112 artists left
1524031340960: 228062 artists left
1524031341963: 228012 artists left
1524031342965: 227962 artists left
1524031343966: 227912 artists left
1524031344967: 227862 artists left
1524031345968: 227812 artists left
1524031346969: 227762 artists left
1524031347972: 227712 artists left
1524031348973: 227662 artists left
1524031349974: 227612 artists left
1524031350975: 227562 artists left
1524031351978: 227512 artists left
1524031352980: 227462 artists left
1524031353980: 227412 artists left
1524031354982: 227362 artists left
1524031355984: 227312 artists left
1524031356986: 227262 artists left
1524031357988: 227212 artists left
1524031358989: 227162 artists left
1524031359991: 227112 artists left
1524031360992: 227062 artists left
1524031361993: 227012 artists left
1524031362995: 226962 artists left
1524031363996: 226912 artists left
1524031364998: 226862 artists left
1524031366000: 226812 artists left
1524031367001: 226762 artists left
1524031368003: 226712 artists left
1524031369004: 226662 artists left
1524031370005: 226612 artists left
1524031371006: 226562 artists left
1524031372008: 226512 artists left
1524031373010: 226462 artists left
1524031374012: 226412 artists left
1524031375013: 226362 artists left
1524031376014: 226312 artists left
1524031377015: 226262 artists left
1524031378017: 226212 artists left
1524031379018: 226162 artists left
1524031380019: 226112 artists left
1524031381021: 226062 artists left
1524031382022: 226012 artists left
1524031383025: 225962 artists left
1524031384026: 225912 artists left
1524031385027: 225862 artists left
1524031386028: 225812 artists left
1524031387029: 225762 artists left
1524031388032: 225712 artists left
1524031389033: 225662 artists left
1524031390034: 225612 artists left
1524031391035: 225562 artists left
1524031392036: 225512 artists left
1524031393039: 225462 artists left
1524031394040: 225412 artists left
1524031395041: 225362 artists left
1524031396043: 225312 artists left
1524031397045: 225262 artists left
1524031398047: 225212 artists left
1524031399048: 225162 artists left
1524031400049: 225112 artists left
1524031401049: 225062 artists left
1524031402051: 225012 artists left
1524031403053: 224962 artists left
1524031404054: 224912 artists left
1524031405056: 224862 artists left
1524031406056: 224812 artists left
1524031407058: 224762 artists left
1524031408060: 224712 artists left
1524031409060: 224662 artists left
1524031410062: 224612 artists left
1524031411064: 224562 artists left
1524031412065: 224512 artists left
1524031413068: 224462 artists left
1524031414069: 224412 artists left
1524031415070: 224362 artists left
1524031416071: 224312 artists left
1524031417072: 224262 artists left
1524031418074: 224212 artists left
1524031419075: 224162 artists left
1524031420076: 224112 artists left
1524031421077: 224062 artists left
1524031422078: 224012 artists left
1524031423080: 223962 artists left
1524031424081: 223912 artists left
1524031425082: 223862 artists left
1524031426083: 223812 artists left
1524031427085: 223762 artists left
1524031428087: 223712 artists left
1524031429088: 223662 artists left
1524031430090: 223612 artists left
1524031431091: 223562 artists left
1524031432092: 223512 artists left
1524031433095: 223462 artists left
1524031434096: 223412 artists left
1524031435097: 223362 artists left
1524031436098: 223312 artists left
1524031437100: 223262 artists left
1524031438102: 223212 artists left
1524031439104: 223162 artists left
1524031440106: 223112 artists left
1524031441107: 223062 artists left
1524031442108: 223012 artists left
1524031443111: 222962 artists left
1524031444112: 222912 artists left
1524031445114: 222862 artists left
1524031446115: 222812 artists left
1524031447116: 222762 artists left
1524031448119: 222712 artists left
1524031449120: 222662 artists left
1524031450121: 222612 artists left
1524031451122: 222562 artists left
1524031452123: 222512 artists left
1524031453125: 222462 artists left
1524031454126: 222412 artists left
1524031455127: 222362 artists left
1524031456128: 222312 artists left
1524031457130: 222262 artists left
1524031458132: 222212 artists left
1524031459133: 222162 artists left
1524031460133: 222112 artists left
1524031461135: 222062 artists left
1524031462137: 222012 artists left
1524031463138: 221962 artists left
1524031464140: 221912 artists left
1524031465141: 221862 artists left
1524031466142: 221812 artists left
1524031467143: 221762 artists left
1524031468145: 221712 artists left
1524031469146: 221662 artists left
1524031470147: 221612 artists left
1524031471147: 221562 artists left
1524031472149: 221512 artists left
1524031473152: 221462 artists left
1524031474153: 221412 artists left
1524031475154: 221362 artists left
1524031476156: 221312 artists left
1524031477157: 221262 artists left
1524031478158: 221212 artists left
1524031479160: 221162 artists left
1524031480161: 221112 artists left
1524031481162: 221062 artists left
1524031482164: 221012 artists left
1524031483167: 220962 artists left
1524031484167: 220912 artists left
1524031485169: 220862 artists left
1524031486170: 220812 artists left
1524031487171: 220762 artists left
1524031488173: 220712 artists left
1524031489174: 220662 artists left
1524031490175: 220612 artists left
1524031491177: 220562 artists left
1524031492178: 220512 artists left
1524031493180: 220462 artists left
1524031494181: 220412 artists left
1524031495182: 220362 artists left
1524031496183: 220312 artists left
1524031497184: 220262 artists left
1524031498186: 220212 artists left
1524031499187: 220162 artists left
1524031500188: 220112 artists left
1524031501189: 220062 artists left
1524031502190: 220012 artists left
1524031503193: 219962 artists left
1524031504195: 219912 artists left
1524031505196: 219862 artists left
1524031506197: 219812 artists left
1524031507199: 219762 artists left
1524031508202: 219712 artists left
1524031509204: 219662 artists left
1524031510204: 219612 artists left
1524031511206: 219562 artists left
1524031512208: 219512 artists left
1524031513210: 219462 artists left
1524031514212: 219412 artists left
1524031515214: 219362 artists left
1524031516216: 219312 artists left
1524031517217: 219262 artists left
1524031518219: 219212 artists left
1524031519223: 219162 artists left
1524031520225: 219112 artists left
1524031521226: 219062 artists left
1524031522229: 219012 artists left
1524031523232: 218962 artists left
1524031524233: 218912 artists left
1524031525235: 218862 artists left
1524031526237: 218812 artists left
1524031527238: 218762 artists left
1524031528241: 218712 artists left
1524031529242: 218662 artists left
1524031530244: 218612 artists left
1524031531245: 218562 artists left
1524031532246: 218512 artists left
1524031533249: 218462 artists left
1524031534250: 218412 artists left
1524031535251: 218362 artists left
1524031536253: 218312 artists left
1524031537254: 218262 artists left
1524031538257: 218212 artists left
1524031539258: 218162 artists left
1524031540259: 218112 artists left
1524031541261: 218062 artists left
1524031542262: 218012 artists left
1524031543264: 217962 artists left
1524031544266: 217912 artists left
1524031545268: 217862 artists left
1524031546269: 217812 artists left
1524031547270: 217762 artists left
1524031548273: 217712 artists left
1524031549274: 217662 artists left
1524031550275: 217612 artists left
1524031551277: 217562 artists left
1524031552280: 217512 artists left
1524031553283: 217462 artists left
1524031554284: 217412 artists left
1524031555285: 217362 artists left
1524031556288: 217312 artists left
1524031557289: 217262 artists left
1524031558293: 217212 artists left
1524031559295: 217162 artists left
1524031560298: 217112 artists left
1524031561300: 217062 artists left
1524031562301: 217012 artists left
1524031563303: 216962 artists left
1524031564304: 216912 artists left
1524031565305: 216862 artists left
1524031566306: 216812 artists left
1524031567309: 216762 artists left
1524031568312: 216712 artists left
1524031569313: 216662 artists left
1524031570315: 216612 artists left
1524031571317: 216562 artists left
1524031572319: 216512 artists left
1524031573323: 216462 artists left
1524031574325: 216412 artists left
1524031575326: 216362 artists left
1524031576328: 216312 artists left
1524031577329: 216262 artists left
1524031578333: 216212 artists left
1524031579334: 216162 artists left
1524031580336: 216112 artists left
1524031581338: 216062 artists left
1524031582339: 216012 artists left
1524031583341: 215962 artists left
1524031584342: 215912 artists left
1524031585343: 215862 artists left
1524031586344: 215812 artists left
1524031587346: 215762 artists left
1524031588348: 215712 artists left
1524031589351: 215662 artists left
1524031590353: 215612 artists left
1524031591355: 215562 artists left
1524031592357: 215512 artists left
1524031593359: 215462 artists left
1524031594361: 215412 artists left
1524031595363: 215362 artists left
1524031596364: 215312 artists left
1524031597366: 215262 artists left
1524031598367: 215212 artists left
1524031599369: 215162 artists left
1524031600370: 215112 artists left
1524031601372: 215062 artists left
1524031602375: 215012 artists left
1524031603376: 214962 artists left
1524031604384: 214912 artists left
1524031605385: 214862 artists left
1524031606386: 214812 artists left
1524031607388: 214762 artists left
1524031608390: 214712 artists left
1524031609391: 214662 artists left
1524031610392: 214612 artists left
1524031611395: 214562 artists left
1524031612398: 214512 artists left
1524031613399: 214462 artists left
1524031614401: 214412 artists left
1524031615402: 214362 artists left
1524031616405: 214312 artists left
1524031617407: 214262 artists left
1524031618408: 214212 artists left
1524031619409: 214162 artists left
1524031620411: 214112 artists left
1524031621412: 214062 artists left
1524031622415: 214012 artists left
1524031623417: 213962 artists left
1524031624419: 213912 artists left
1524031625421: 213862 artists left
1524031626423: 213812 artists left
1524031627426: 213762 artists left
1524031628427: 213712 artists left
1524031629428: 213662 artists left
1524031630429: 213612 artists left
1524031631430: 213562 artists left
1524031632433: 213512 artists left
1524031633435: 213462 artists left
1524031634436: 213412 artists left
1524031635437: 213362 artists left
1524031636439: 213312 artists left
1524031637442: 213262 artists left
1524031638443: 213212 artists left
1524031639446: 213162 artists left
1524031640447: 213112 artists left
1524031641449: 213062 artists left
1524031642452: 213012 artists left
1524031643453: 212962 artists left
1524031644455: 212912 artists left
1524031645456: 212862 artists left
1524031646457: 212812 artists left
1524031647460: 212762 artists left
1524031648462: 212712 artists left
1524031649463: 212662 artists left
1524031650464: 212612 artists left
1524031651466: 212562 artists left
1524031652468: 212512 artists left
1524031653469: 212462 artists left
1524031654470: 212412 artists left
1524031655472: 212362 artists left
1524031656473: 212312 artists left
1524031657476: 212262 artists left
1524031658477: 212212 artists left
1524031659479: 212162 artists left
1524031660481: 212112 artists left
1524031661482: 212062 artists left
1524031662485: 212012 artists left
1524031663487: 211962 artists left
1524031664488: 211912 artists left
1524031665489: 211862 artists left
1524031666490: 211812 artists left
1524031667493: 211762 artists left
1524031668495: 211712 artists left
1524031669496: 211662 artists left
1524031670499: 211612 artists left
1524031671500: 211562 artists left
1524031672504: 211512 artists left
1524031673505: 211462 artists left
1524031674506: 211412 artists left
1524031675507: 211362 artists left
1524031676508: 211312 artists left
1524031677511: 211262 artists left
1524031678513: 211212 artists left
1524031679514: 211162 artists left
1524031680516: 211112 artists left
1524031681517: 211062 artists left
1524031682520: 211012 artists left
1524031683522: 210962 artists left
1524031684524: 210912 artists left
1524031685526: 210862 artists left
1524031686527: 210812 artists left
1524031687529: 210762 artists left
1524031688530: 210712 artists left
1524031689532: 210662 artists left
1524031690533: 210612 artists left
1524031691534: 210562 artists left
1524031692536: 210512 artists left
1524031693537: 210462 artists left
1524031694538: 210412 artists left
1524031695541: 210362 artists left
1524031696542: 210312 artists left
1524031697544: 210262 artists left
1524031698545: 210212 artists left
1524031699546: 210162 artists left
1524031700547: 210112 artists left
1524031701549: 210062 artists left
1524031702551: 210012 artists left
1524031703553: 209962 artists left
1524031704555: 209912 artists left
1524031705557: 209862 artists left
1524031706560: 209812 artists left
1524031707562: 209762 artists left
1524031708565: 209712 artists left
1524031709566: 209662 artists left
1524031710567: 209612 artists left
1524031711569: 209562 artists left
1524031712571: 209512 artists left
1524031713572: 209462 artists left
1524031714574: 209412 artists left
1524031715577: 209362 artists left
1524031716579: 209312 artists left
1524031717581: 209262 artists left
1524031718584: 209212 artists left
1524031719586: 209162 artists left
1524031720587: 209112 artists left
1524031721589: 209062 artists left
1524031722591: 209012 artists left
1524031723593: 208962 artists left
1524031724594: 208912 artists left
1524031725595: 208862 artists left
1524031726598: 208812 artists left
1524031727600: 208762 artists left
1524031728603: 208712 artists left
1524031729604: 208662 artists left
1524031730610: 208612 artists left
1524031731612: 208562 artists left
1524031732615: 208512 artists left
1524031733616: 208462 artists left
1524031734618: 208412 artists left
1524031735619: 208362 artists left
1524031736621: 208312 artists left
1524031737623: 208262 artists left
1524031738625: 208212 artists left
1524031739627: 208162 artists left
1524031740629: 208112 artists left
1524031741630: 208062 artists left
1524031742633: 208012 artists left
1524031743635: 207962 artists left
1524031744636: 207912 artists left
1524031745637: 207862 artists left
1524031746638: 207812 artists left
1524031747640: 207762 artists left
1524031748642: 207712 artists left
1524031749643: 207662 artists left
1524031750645: 207612 artists left
1524031751648: 207562 artists left
1524031752650: 207512 artists left
1524031753651: 207462 artists left
1524031754653: 207412 artists left
1524031755654: 207362 artists left
1524031756656: 207312 artists left
1524031757659: 207262 artists left
1524031758660: 207212 artists left
1524031759661: 207162 artists left
1524031760663: 207112 artists left
1524031761666: 207062 artists left
1524031762669: 207012 artists left
1524031763670: 206962 artists left
1524031764673: 206912 artists left
1524031765674: 206862 artists left
1524031766676: 206812 artists left
1524031767680: 206762 artists left
1524031768682: 206712 artists left
1524031769685: 206662 artists left
1524031770687: 206612 artists left
1524031771689: 206562 artists left
1524031772691: 206512 artists left
1524031773693: 206462 artists left
1524031774694: 206412 artists left
1524031775695: 206362 artists left
1524031776696: 206312 artists left
1524031777698: 206262 artists left
1524031778700: 206212 artists left
1524031779702: 206162 artists left
1524031780704: 206112 artists left
1524031781706: 206062 artists left
1524031782709: 206012 artists left
1524031783710: 205962 artists left
1524031784711: 205912 artists left
1524031785714: 205862 artists left
1524031786715: 205812 artists left
1524031787719: 205762 artists left
1524031788721: 205712 artists left
1524031789723: 205662 artists left
1524031790724: 205612 artists left
1524031791727: 205562 artists left
1524031792730: 205512 artists left
1524031793731: 205462 artists left
1524031794734: 205412 artists left
1524031795735: 205362 artists left
1524031796737: 205312 artists left
1524031797740: 205262 artists left
1524031798741: 205212 artists left
1524031799743: 205162 artists left
1524031800744: 205112 artists left
1524031801745: 205062 artists left
1524031802748: 205012 artists left
1524031803750: 204962 artists left
1524031804752: 204912 artists left
1524031805754: 204862 artists left
1524031806756: 204812 artists left
1524031807760: 204762 artists left
1524031808761: 204712 artists left
1524031809763: 204662 artists left
1524031810765: 204612 artists left
1524031811767: 204562 artists left
1524031812769: 204512 artists left
1524031813770: 204462 artists left
1524031814772: 204412 artists left
1524031815774: 204362 artists left
1524031816776: 204312 artists left
1524031817778: 204262 artists left
1524031818779: 204212 artists left
1524031819781: 204162 artists left
1524031820783: 204112 artists left
1524031821784: 204062 artists left
1524031822787: 204012 artists left
1524031823789: 203962 artists left
1524031824790: 203912 artists left
1524031825791: 203862 artists left
1524031826792: 203812 artists left
1524031827794: 203762 artists left
1524031828795: 203712 artists left
1524031829798: 203662 artists left
1524031830799: 203612 artists left
1524031831800: 203562 artists left
1524031832803: 203512 artists left
1524031833804: 203462 artists left
1524031834805: 203412 artists left
1524031835806: 203362 artists left
1524031836808: 203312 artists left
1524031837811: 203262 artists left
1524031838812: 203212 artists left
1524031839815: 203162 artists left
1524031840817: 203112 artists left
1524031841818: 203062 artists left
1524031842822: 203012 artists left
1524031843823: 202962 artists left
1524031844825: 202912 artists left
1524031845827: 202862 artists left
1524031846830: 202812 artists left
1524031847832: 202762 artists left
1524031848833: 202712 artists left
1524031849834: 202662 artists left
1524031850835: 202612 artists left
1524031851837: 202562 artists left
1524031852839: 202512 artists left
1524031853840: 202462 artists left
1524031854842: 202412 artists left
1524031855843: 202362 artists left
1524031856844: 202312 artists left
1524031857847: 202262 artists left
1524031858849: 202212 artists left
1524031859850: 202162 artists left
1524031860853: 202112 artists left
1524031861856: 202062 artists left
1524031862859: 202012 artists left
1524031863860: 201962 artists left
1524031864861: 201912 artists left
1524031865865: 201862 artists left
1524031866867: 201812 artists left
1524031867870: 201762 artists left
1524031868871: 201712 artists left
1524031869874: 201662 artists left
1524031870875: 201612 artists left
1524031871876: 201562 artists left
1524031872879: 201512 artists left
1524031873880: 201462 artists left
1524031874881: 201412 artists left
1524031875882: 201362 artists left
1524031876883: 201312 artists left
1524031877885: 201262 artists left
1524031878887: 201212 artists left
1524031879889: 201162 artists left
1524031880890: 201112 artists left
1524031881892: 201062 artists left
1524031882895: 201012 artists left
1524031883897: 200962 artists left
1524031884899: 200912 artists left
1524031885901: 200862 artists left
1524031886902: 200812 artists left
1524031887905: 200762 artists left
1524031888906: 200712 artists left
1524031889907: 200662 artists left
1524031890908: 200612 artists left
1524031891910: 200562 artists left
1524031892914: 200512 artists left
1524031893915: 200462 artists left
1524031894917: 200412 artists left
1524031895918: 200362 artists left
1524031896920: 200312 artists left
1524031897923: 200262 artists left
1524031898924: 200212 artists left
1524031899925: 200162 artists left
1524031900927: 200112 artists left
1524031901928: 200062 artists left
1524031902931: 200012 artists left
1524031903932: 199962 artists left
1524031904934: 199912 artists left
1524031905936: 199862 artists left
1524031906937: 199812 artists left
1524031907940: 199762 artists left
1524031908941: 199712 artists left
1524031909944: 199662 artists left
1524031910945: 199612 artists left
1524031911946: 199562 artists left
1524031912948: 199512 artists left
1524031913949: 199462 artists left
1524031914950: 199412 artists left
1524031915952: 199362 artists left
1524031916954: 199312 artists left
1524031917957: 199262 artists left
1524031918959: 199212 artists left
1524031919960: 199162 artists left
1524031920962: 199112 artists left
1524031921963: 199062 artists left
1524031922966: 199012 artists left
1524031923968: 198962 artists left
1524031924969: 198912 artists left
1524031925970: 198862 artists left
1524031926972: 198812 artists left
1524031927975: 198762 artists left
1524031928977: 198712 artists left
1524031929979: 198662 artists left
1524031930981: 198612 artists left
1524031931982: 198562 artists left
1524031932985: 198512 artists left
1524031933986: 198462 artists left
1524031934987: 198412 artists left
1524031935989: 198362 artists left
1524031936991: 198312 artists left
1524031937994: 198262 artists left
1524031938996: 198212 artists left
1524031939999: 198162 artists left
1524031941006: 198112 artists left
1524031942008: 198062 artists left
1524031943011: 198012 artists left
1524031944012: 197962 artists left
1524031945014: 197912 artists left
1524031946015: 197862 artists left
1524031947018: 197812 artists left
1524031948020: 197762 artists left
1524031949022: 197712 artists left
1524031950023: 197662 artists left
1524031951024: 197612 artists left
1524031952025: 197562 artists left
1524031953026: 197512 artists left
1524031954028: 197462 artists left
1524031955030: 197412 artists left
1524031956031: 197362 artists left
1524031957033: 197312 artists left
1524031958035: 197262 artists left
1524031959036: 197212 artists left
1524031960037: 197162 artists left
1524031961038: 197112 artists left
1524031962041: 197062 artists left
1524031963043: 197012 artists left
1524031964045: 196962 artists left
1524031965047: 196912 artists left
1524031966049: 196862 artists left
1524031967051: 196812 artists left
1524031968054: 196762 artists left
1524031969056: 196712 artists left
1524031970057: 196662 artists left
1524031971058: 196612 artists left
1524031972059: 196562 artists left
1524031973062: 196512 artists left
1524031974063: 196462 artists left
1524031975065: 196412 artists left
1524031976067: 196362 artists left
1524031977068: 196312 artists left
1524031978070: 196262 artists left
1524031979071: 196212 artists left
1524031980072: 196162 artists left
1524031981073: 196112 artists left
1524031982074: 196062 artists left
1524031983078: 196012 artists left
1524031984079: 195962 artists left
1524031985080: 195912 artists left
1524031986081: 195862 artists left
1524031987082: 195812 artists left
1524031988085: 195762 artists left
1524031989087: 195712 artists left
1524031990088: 195662 artists left
1524031991089: 195612 artists left
1524031992090: 195562 artists left
1524031993093: 195512 artists left
1524031994094: 195462 artists left
1524031995096: 195412 artists left
1524031996097: 195362 artists left
1524031997098: 195312 artists left
1524031998101: 195262 artists left
1524031999102: 195212 artists left
1524032000103: 195162 artists left
1524032001104: 195112 artists left
1524032002106: 195062 artists left
1524032003108: 195012 artists left
1524032004109: 194962 artists left
1524032005110: 194912 artists left
1524032006112: 194862 artists left
1524032007113: 194812 artists left
1524032008115: 194762 artists left
1524032009116: 194712 artists left
1524032010117: 194662 artists left
1524032011118: 194612 artists left
1524032012121: 194562 artists left
1524032013123: 194512 artists left
1524032014125: 194462 artists left
1524032015126: 194412 artists left
1524032016128: 194362 artists left
1524032017129: 194312 artists left
1524032018131: 194262 artists left
1524032019133: 194212 artists left
1524032020134: 194162 artists left
1524032021135: 194112 artists left
1524032022135: 194062 artists left
1524032023139: 194012 artists left
1524032024140: 193962 artists left
1524032025141: 193912 artists left
1524032026142: 193862 artists left
1524032027144: 193812 artists left
1524032028146: 193762 artists left
1524032029147: 193712 artists left
1524032030148: 193662 artists left
1524032031150: 193612 artists left
1524032032151: 193562 artists left
1524032033154: 193512 artists left
1524032034155: 193462 artists left
1524032035156: 193412 artists left
1524032036158: 193362 artists left
1524032037160: 193312 artists left
1524032038162: 193262 artists left
1524032039164: 193212 artists left
1524032040165: 193162 artists left
1524032041166: 193112 artists left
1524032042168: 193062 artists left
1524032043170: 193012 artists left
1524032044171: 192962 artists left
1524032045172: 192912 artists left
1524032046173: 192862 artists left
1524032047174: 192812 artists left
1524032048177: 192762 artists left
1524032049185: 192712 artists left
1524032050186: 192662 artists left
1524032051187: 192612 artists left
1524032052189: 192562 artists left
1524032053193: 192512 artists left
1524032054194: 192462 artists left
1524032055195: 192412 artists left
1524032056197: 192362 artists left
1524032057198: 192312 artists left
1524032058199: 192262 artists left
1524032059201: 192212 artists left
1524032060202: 192162 artists left
1524032061203: 192112 artists left
1524032062204: 192062 artists left
1524032063206: 192012 artists left
1524032064207: 191962 artists left
1524032065208: 191912 artists left
1524032066210: 191862 artists left
1524032067211: 191812 artists left
1524032068213: 191762 artists left
1524032069215: 191712 artists left
1524032070216: 191662 artists left
1524032071217: 191612 artists left
1524032072219: 191562 artists left
1524032073221: 191512 artists left
1524032074222: 191462 artists left
1524032075223: 191412 artists left
1524032076224: 191362 artists left
1524032077225: 191312 artists left
1524032078227: 191262 artists left
1524032079230: 191212 artists left
1524032080231: 191162 artists left
1524032081232: 191112 artists left
1524032082233: 191062 artists left
1524032083236: 191012 artists left
1524032084237: 190962 artists left
1524032085237: 190912 artists left
1524032086239: 190862 artists left
1524032087241: 190812 artists left
1524032088243: 190762 artists left
1524032089244: 190712 artists left
1524032090246: 190662 artists left
1524032091247: 190612 artists left
1524032092249: 190562 artists left
1524032093251: 190512 artists left
1524032094252: 190462 artists left
1524032095253: 190412 artists left
1524032096253: 190362 artists left
1524032097255: 190312 artists left
1524032098257: 190262 artists left
1524032099259: 190212 artists left
1524032100261: 190162 artists left
1524032101262: 190112 artists left
1524032102265: 190062 artists left
1524032103267: 190012 artists left
1524032104269: 189962 artists left
1524032105271: 189912 artists left
1524032106272: 189862 artists left
