Starting data collection at: 1519956001590
Connecting to database...
Connected
Spotify access token retrieved
Selected 76516 IDs from artist_info table
1519956002972: 76516 artists left
1519956003975: 76466 artists left
1519956004978: 76416 artists left
1519956005980: 76366 artists left
1519956006981: 76316 artists left
1519956007984: 76266 artists left
1519956008992: 76216 artists left
1519956009994: 76166 artists left
1519956010995: 76116 artists left
1519956011996: 76066 artists left
1519956012999: 76016 artists left
1519956014000: 75966 artists left
1519956015003: 75916 artists left
1519956016005: 75866 artists left
1519956017006: 75816 artists left
1519956018027: 75766 artists left
1519956019028: 75716 artists left
1519956020030: 75666 artists left
1519956021032: 75616 artists left
1519956022035: 75566 artists left
1519956023037: 75516 artists left
1519956024048: 75466 artists left
1519956025050: 75416 artists left
1519956026051: 75366 artists left
1519956027053: 75316 artists left
1519956028056: 75266 artists left
1519956029057: 75216 artists left
1519956030058: 75166 artists left
1519956031060: 75116 artists left
1519956032062: 75066 artists left
1519956033064: 75016 artists left
1519956034065: 74966 artists left
1519956035067: 74916 artists left
1519956036070: 74866 artists left
1519956037072: 74816 artists left
1519956038075: 74766 artists left
1519956039077: 74716 artists left
1519956040078: 74666 artists left
1519956041080: 74616 artists left
1519956042081: 74566 artists left
1519956043085: 74516 artists left
1519956044087: 74466 artists left
1519956045089: 74416 artists left
1519956046090: 74366 artists left
1519956047091: 74316 artists left
1519956048094: 74266 artists left
1519956049096: 74216 artists left
1519956050097: 74166 artists left
1519956051099: 74116 artists left
1519956052101: 74066 artists left
1519956053104: 74016 artists left
1519956054107: 73966 artists left
1519956055109: 73916 artists left
1519956056110: 73866 artists left
1519956057111: 73816 artists left
1519956058114: 73766 artists left
1519956059116: 73716 artists left
1519956060118: 73666 artists left
1519956061120: 73616 artists left
1519956062121: 73566 artists left
1519956063124: 73516 artists left
1519956064125: 73466 artists left
1519956065127: 73416 artists left
1519956066129: 73366 artists left
1519956067132: 73316 artists left
1519956068134: 73266 artists left
1519956069136: 73216 artists left
1519956070138: 73166 artists left
1519956071139: 73116 artists left
1519956072140: 73066 artists left
1519956073144: 73016 artists left
1519956074146: 72966 artists left
1519956075148: 72916 artists left
1519956076149: 72866 artists left
1519956077151: 72816 artists left
1519956078154: 72766 artists left
1519956079156: 72716 artists left
1519956080158: 72666 artists left
1519956081160: 72616 artists left
1519956082162: 72566 artists left
1519956083165: 72516 artists left
1519956084166: 72466 artists left
1519956085168: 72416 artists left
1519956086170: 72366 artists left
1519956087172: 72316 artists left
1519956088174: 72266 artists left
1519956089176: 72216 artists left
1519956090178: 72166 artists left
1519956091179: 72116 artists left
1519956092181: 72066 artists left
1519956093183: 72016 artists left
1519956094185: 71966 artists left
1519956095186: 71916 artists left
1519956096187: 71866 artists left
1519956097191: 71816 artists left
1519956098193: 71766 artists left
1519956099195: 71716 artists left
1519956100196: 71666 artists left
1519956101197: 71616 artists left
1519956102198: 71566 artists left
1519956103200: 71516 artists left
1519956104202: 71466 artists left
1519956105203: 71416 artists left
1519956106204: 71366 artists left
1519956107206: 71316 artists left
1519956108208: 71266 artists left
1519956109209: 71216 artists left
1519956110211: 71166 artists left
1519956111213: 71116 artists left
1519956112214: 71066 artists left
1519956113217: 71016 artists left
1519956114219: 70966 artists left
1519956115221: 70916 artists left
1519956116222: 70866 artists left
1519956117224: 70816 artists left
1519956118227: 70766 artists left
1519956119234: 70716 artists left
1519956120236: 70666 artists left
1519956121238: 70616 artists left
1519956122239: 70566 artists left
1519956123241: 70516 artists left
1519956124243: 70466 artists left
1519956125244: 70416 artists left
1519956126246: 70366 artists left
1519956127246: 70316 artists left
1519956128248: 70266 artists left
1519956129250: 70216 artists left
1519956130251: 70166 artists left
1519956131253: 70116 artists left
1519956132254: 70066 artists left
1519956133256: 70016 artists left
1519956134257: 69966 artists left
1519956135258: 69916 artists left
1519956136259: 69866 artists left
1519956137260: 69816 artists left
1519956138264: 69766 artists left
1519956139266: 69716 artists left
1519956140267: 69666 artists left
1519956141269: 69616 artists left
1519956142270: 69566 artists left
1519956143274: 69516 artists left
1519956144276: 69466 artists left
1519956145277: 69416 artists left
1519956146277: 69366 artists left
1519956147279: 69316 artists left
1519956148282: 69266 artists left
1519956149284: 69216 artists left
1519956150286: 69166 artists left
1519956151288: 69116 artists left
1519956152290: 69066 artists left
1519956153292: 69016 artists left
1519956154293: 68966 artists left
1519956155294: 68916 artists left
1519956156296: 68866 artists left
1519956157297: 68816 artists left
1519956158299: 68766 artists left
1519956159301: 68716 artists left
1519956160302: 68666 artists left
1519956161303: 68616 artists left
1519956162305: 68566 artists left
1519956163308: 68516 artists left
1519956164310: 68466 artists left
1519956165311: 68416 artists left
1519956166312: 68366 artists left
1519956167314: 68316 artists left
1519956168317: 68266 artists left
1519956169319: 68216 artists left
1519956170321: 68166 artists left
1519956171323: 68116 artists left
1519956172324: 68066 artists left
1519956173327: 68016 artists left
1519956174329: 67966 artists left
1519956175331: 67916 artists left
1519956176333: 67866 artists left
1519956177334: 67816 artists left
1519956178337: 67766 artists left
1519956179338: 67716 artists left
1519956180340: 67666 artists left
1519956181342: 67616 artists left
1519956182343: 67566 artists left
1519956183345: 67516 artists left
1519956184346: 67466 artists left
1519956185348: 67416 artists left
1519956186349: 67366 artists left
1519956187351: 67316 artists left
1519956188353: 67266 artists left
1519956189355: 67216 artists left
1519956190357: 67166 artists left
1519956191359: 67116 artists left
1519956192360: 67066 artists left
1519956193364: 67016 artists left
1519956194365: 66966 artists left
1519956195367: 66916 artists left
1519956196368: 66866 artists left
1519956197369: 66816 artists left
1519956198371: 66766 artists left
1519956199373: 66716 artists left
1519956200375: 66666 artists left
1519956201376: 66616 artists left
1519956202378: 66566 artists left
1519956203381: 66516 artists left
1519956204383: 66466 artists left
1519956205385: 66416 artists left
1519956206387: 66366 artists left
1519956207389: 66316 artists left
1519956208391: 66266 artists left
1519956209393: 66216 artists left
1519956210395: 66166 artists left
1519956211397: 66116 artists left
1519956212398: 66066 artists left
1519956213401: 66016 artists left
1519956214403: 65966 artists left
1519956215405: 65916 artists left
1519956216406: 65866 artists left
1519956217407: 65816 artists left
1519956218410: 65766 artists left
1519956219412: 65716 artists left
1519956220414: 65666 artists left
1519956221416: 65616 artists left
1519956222418: 65566 artists left
1519956223421: 65516 artists left
1519956224423: 65466 artists left
1519956225424: 65416 artists left
1519956226425: 65366 artists left
1519956227427: 65316 artists left
1519956228430: 65266 artists left
1519956229431: 65216 artists left
