Starting data collection at: 1527487203324
Connecting to database...
Connected
Spotify access token retrieved
Selected 256774 IDs from artist_info table
1527487205369: 256774 artists left
1527487206371: 256724 artists left
1527487207376: 256674 artists left
1527487208379: 256624 artists left
1527487209381: 256574 artists left
1527487210382: 256524 artists left
1527487211390: 256474 artists left
1527487212393: 256424 artists left
1527487213394: 256374 artists left
1527487214395: 256324 artists left
1527487215396: 256274 artists left
1527487216398: 256224 artists left
1527487217401: 256174 artists left
1527487218403: 256124 artists left
1527487219406: 256074 artists left
1527487220407: 256024 artists left
1527487221408: 255974 artists left
1527487222411: 255924 artists left
1527487223413: 255874 artists left
1527487224414: 255824 artists left
1527487225416: 255774 artists left
1527487226417: 255724 artists left
1527487227420: 255674 artists left
1527487228422: 255624 artists left
1527487229423: 255574 artists left
1527487230424: 255524 artists left
1527487231426: 255474 artists left
1527487232429: 255424 artists left
1527487233430: 255374 artists left
1527487234433: 255324 artists left
1527487235434: 255274 artists left
1527487236435: 255224 artists left
1527487237437: 255174 artists left
1527487238440: 255124 artists left
1527487239442: 255074 artists left
1527487240443: 255024 artists left
1527487241445: 254974 artists left
1527487242449: 254924 artists left
1527487243450: 254874 artists left
1527487244451: 254824 artists left
1527487245454: 254774 artists left
1527487246455: 254724 artists left
1527487247457: 254674 artists left
1527487248460: 254624 artists left
1527487249462: 254574 artists left
1527487250464: 254524 artists left
1527487251465: 254474 artists left
1527487252468: 254424 artists left
1527487253469: 254374 artists left
1527487254471: 254324 artists left
1527487255474: 254274 artists left
1527487256476: 254224 artists left
1527487257479: 254174 artists left
1527487258482: 254124 artists left
1527487259485: 254074 artists left
1527487260495: 254024 artists left
1527487261496: 253974 artists left
1527487262499: 253924 artists left
1527487263501: 253874 artists left
1527487264503: 253824 artists left
1527487265505: 253774 artists left
1527487266507: 253724 artists left
1527487267510: 253674 artists left
1527487268512: 253624 artists left
1527487269515: 253574 artists left
1527487270518: 253524 artists left
1527487271520: 253474 artists left
1527487272523: 253424 artists left
1527487273524: 253374 artists left
1527487274526: 253324 artists left
1527487275529: 253274 artists left
1527487276532: 253224 artists left
1527487277534: 253174 artists left
1527487278536: 253124 artists left
1527487279539: 253074 artists left
1527487280543: 253024 artists left
1527487281544: 252974 artists left
1527487282547: 252924 artists left
1527487283549: 252874 artists left
1527487284551: 252824 artists left
1527487285552: 252774 artists left
1527487286554: 252724 artists left
1527487287557: 252674 artists left
1527487288559: 252624 artists left
1527487289561: 252574 artists left
1527487290563: 252524 artists left
1527487291565: 252474 artists left
1527487292569: 252424 artists left
1527487293570: 252374 artists left
1527487294572: 252324 artists left
1527487295575: 252274 artists left
1527487296576: 252224 artists left
1527487297579: 252174 artists left
1527487298580: 252124 artists left
1527487299585: 252074 artists left
1527487300587: 252024 artists left
1527487301588: 251974 artists left
1527487302591: 251924 artists left
1527487303592: 251874 artists left
1527487304594: 251824 artists left
1527487305596: 251774 artists left
1527487306597: 251724 artists left
1527487307600: 251674 artists left
1527487308601: 251624 artists left
1527487309604: 251574 artists left
1527487310606: 251524 artists left
1527487311607: 251474 artists left
1527487312610: 251424 artists left
1527487313611: 251374 artists left
1527487314613: 251324 artists left
1527487315616: 251274 artists left
1527487316617: 251224 artists left
1527487317620: 251174 artists left
1527487318622: 251124 artists left
1527487319624: 251074 artists left
1527487320626: 251024 artists left
1527487321637: 250974 artists left
1527487322639: 250924 artists left
1527487323641: 250874 artists left
1527487324643: 250824 artists left
1527487325644: 250774 artists left
1527487326645: 250724 artists left
1527487327648: 250674 artists left
1527487328651: 250624 artists left
1527487329653: 250574 artists left
1527487330655: 250524 artists left
1527487331657: 250474 artists left
1527487332660: 250424 artists left
1527487333661: 250374 artists left
1527487334663: 250324 artists left
1527487335664: 250274 artists left
1527487336667: 250224 artists left
1527487337669: 250174 artists left
1527487338671: 250124 artists left
1527487339672: 250074 artists left
1527487340674: 250024 artists left
1527487341677: 249974 artists left
1527487342679: 249924 artists left
1527487343680: 249874 artists left
1527487344682: 249824 artists left
1527487345685: 249774 artists left
1527487346687: 249724 artists left
1527487347690: 249674 artists left
1527487348692: 249624 artists left
1527487349693: 249574 artists left
1527487350696: 249524 artists left
1527487351699: 249474 artists left
1527487352701: 249424 artists left
1527487353703: 249374 artists left
1527487354704: 249324 artists left
1527487355705: 249274 artists left
1527487356706: 249224 artists left
1527487357710: 249174 artists left
1527487358712: 249124 artists left
1527487359714: 249074 artists left
1527487360716: 249024 artists left
1527487361717: 248974 artists left
1527487362721: 248924 artists left
1527487363725: 248874 artists left
1527487364726: 248824 artists left
1527487365727: 248774 artists left
1527487366730: 248724 artists left
1527487367733: 248674 artists left
1527487368735: 248624 artists left
1527487369736: 248574 artists left
1527487370738: 248524 artists left
1527487371740: 248474 artists left
1527487372744: 248424 artists left
1527487373746: 248374 artists left
1527487374747: 248324 artists left
1527487375748: 248274 artists left
1527487376749: 248224 artists left
1527487377752: 248174 artists left
1527487378754: 248124 artists left
1527487379756: 248074 artists left
1527487380758: 248024 artists left
1527487381759: 247974 artists left
1527487382763: 247924 artists left
1527487383765: 247874 artists left
1527487384767: 247824 artists left
1527487385768: 247774 artists left
1527487386770: 247724 artists left
1527487387774: 247674 artists left
1527487388777: 247624 artists left
1527487389779: 247574 artists left
1527487390780: 247524 artists left
1527487391783: 247474 artists left
1527487392785: 247424 artists left
1527487393788: 247374 artists left
1527487394790: 247324 artists left
1527487395791: 247274 artists left
1527487396792: 247224 artists left
1527487397795: 247174 artists left
1527487398796: 247124 artists left
1527487399797: 247074 artists left
1527487400798: 247024 artists left
1527487401801: 246974 artists left
1527487402805: 246924 artists left
1527487403806: 246874 artists left
1527487404809: 246824 artists left
1527487405810: 246774 artists left
1527487406812: 246724 artists left
1527487407814: 246674 artists left
1527487408815: 246624 artists left
1527487409816: 246574 artists left
1527487410818: 246524 artists left
1527487411819: 246474 artists left
1527487412823: 246424 artists left
1527487413826: 246374 artists left
1527487414827: 246324 artists left
1527487415830: 246274 artists left
1527487416831: 246224 artists left
1527487417834: 246174 artists left
1527487418836: 246124 artists left
1527487419837: 246074 artists left
1527487420838: 246024 artists left
1527487421841: 245974 artists left
1527487422843: 245924 artists left
1527487423844: 245874 artists left
1527487424845: 245824 artists left
1527487425847: 245774 artists left
1527487426849: 245724 artists left
1527487427851: 245674 artists left
1527487428853: 245624 artists left
1527487429854: 245574 artists left
1527487430856: 245524 artists left
1527487431857: 245474 artists left
1527487432861: 245424 artists left
1527487433862: 245374 artists left
1527487434864: 245324 artists left
1527487435865: 245274 artists left
1527487436867: 245224 artists left
1527487437869: 245174 artists left
1527487438872: 245124 artists left
1527487439873: 245074 artists left
1527487440875: 245024 artists left
1527487441876: 244974 artists left
1527487442879: 244924 artists left
1527487443880: 244874 artists left
1527487444882: 244824 artists left
1527487445884: 244774 artists left
1527487446887: 244724 artists left
1527487447889: 244674 artists left
1527487448891: 244624 artists left
1527487449895: 244574 artists left
1527487450896: 244524 artists left
1527487451898: 244474 artists left
1527487452901: 244424 artists left
1527487453902: 244374 artists left
1527487454904: 244324 artists left
1527487455907: 244274 artists left
1527487456908: 244224 artists left
1527487457910: 244174 artists left
1527487458912: 244124 artists left
1527487459915: 244074 artists left
1527487460916: 244024 artists left
1527487461918: 243974 artists left
1527487462921: 243924 artists left
1527487463922: 243874 artists left
1527487464923: 243824 artists left
1527487465926: 243774 artists left
1527487466927: 243724 artists left
1527487467930: 243674 artists left
1527487468931: 243624 artists left
1527487469933: 243574 artists left
1527487470934: 243524 artists left
1527487471936: 243474 artists left
1527487472940: 243424 artists left
1527487473941: 243374 artists left
1527487474944: 243324 artists left
1527487475945: 243274 artists left
1527487476946: 243224 artists left
1527487477949: 243174 artists left
1527487478950: 243124 artists left
1527487479953: 243074 artists left
1527487480955: 243024 artists left
1527487481956: 242974 artists left
1527487482960: 242924 artists left
1527487483961: 242874 artists left
1527487484963: 242824 artists left
1527487485965: 242774 artists left
1527487486966: 242724 artists left
1527487487969: 242674 artists left
1527487488970: 242624 artists left
1527487489971: 242574 artists left
1527487490972: 242524 artists left
1527487491973: 242474 artists left
1527487492977: 242424 artists left
1527487493978: 242374 artists left
1527487494980: 242324 artists left
1527487495981: 242274 artists left
1527487496982: 242224 artists left
1527487497985: 242174 artists left
1527487498987: 242124 artists left
1527487499990: 242074 artists left
1527487500991: 242024 artists left
1527487501993: 241974 artists left
1527487502996: 241924 artists left
1527487503998: 241874 artists left
1527487504999: 241824 artists left
1527487506001: 241774 artists left
1527487507003: 241724 artists left
1527487508006: 241674 artists left
1527487509008: 241624 artists left
1527487510009: 241574 artists left
1527487511011: 241524 artists left
1527487512012: 241474 artists left
1527487513014: 241424 artists left
1527487514015: 241374 artists left
1527487515017: 241324 artists left
1527487516019: 241274 artists left
1527487517021: 241224 artists left
1527487518024: 241174 artists left
1527487519025: 241124 artists left
1527487520027: 241074 artists left
1527487521028: 241024 artists left
1527487522029: 240974 artists left
1527487523031: 240924 artists left
1527487524032: 240874 artists left
1527487525033: 240824 artists left
1527487526035: 240774 artists left
1527487527037: 240724 artists left
1527487528039: 240674 artists left
1527487529041: 240624 artists left
1527487530042: 240574 artists left
1527487531044: 240524 artists left
1527487532048: 240474 artists left
1527487533051: 240424 artists left
1527487534052: 240374 artists left
1527487535055: 240324 artists left
1527487536056: 240274 artists left
1527487537058: 240224 artists left
1527487538061: 240174 artists left
1527487539062: 240124 artists left
1527487540064: 240074 artists left
1527487541065: 240024 artists left
1527487542067: 239974 artists left
1527487543070: 239924 artists left
1527487544072: 239874 artists left
1527487545073: 239824 artists left
1527487546074: 239774 artists left
1527487547076: 239724 artists left
1527487548079: 239674 artists left
1527487549080: 239624 artists left
1527487550084: 239574 artists left
1527487551085: 239524 artists left
1527487552086: 239474 artists left
1527487553090: 239424 artists left
1527487554091: 239374 artists left
1527487555094: 239324 artists left
1527487556095: 239274 artists left
1527487557097: 239224 artists left
1527487558099: 239174 artists left
1527487559101: 239124 artists left
1527487560104: 239074 artists left
1527487561106: 239024 artists left
1527487562108: 238974 artists left
1527487563111: 238924 artists left
1527487564112: 238874 artists left
1527487565115: 238824 artists left
1527487566116: 238774 artists left
1527487567117: 238724 artists left
1527487568120: 238674 artists left
1527487569122: 238624 artists left
1527487570123: 238574 artists left
1527487571124: 238524 artists left
1527487572128: 238474 artists left
1527487573130: 238424 artists left
1527487574131: 238374 artists left
1527487575133: 238324 artists left
1527487576134: 238274 artists left
1527487577138: 238224 artists left
1527487578140: 238174 artists left
1527487579142: 238124 artists left
1527487580144: 238074 artists left
1527487581145: 238024 artists left
1527487582149: 237974 artists left
1527487583151: 237924 artists left
1527487584153: 237874 artists left
1527487585155: 237824 artists left
1527487586157: 237774 artists left
1527487587159: 237724 artists left
1527487588161: 237674 artists left
1527487589162: 237624 artists left
1527487590163: 237574 artists left
