Starting data collection at: 1524549601372
Connecting to database...
Connected
Spotify access token retrieved
Selected 256774 IDs from artist_info table
1524549603741: 256774 artists left
1524549604743: 256724 artists left
1524549605745: 256674 artists left
1524549606747: 256624 artists left
1524549607752: 256574 artists left
1524549608754: 256524 artists left
1524549609762: 256474 artists left
1524549610764: 256424 artists left
1524549611765: 256374 artists left
1524549612767: 256324 artists left
1524549613769: 256274 artists left
1524549614770: 256224 artists left
1524549615770: 256174 artists left
1524549616772: 256124 artists left
1524549617774: 256074 artists left
1524549618775: 256024 artists left
1524549619776: 255974 artists left
1524549620777: 255924 artists left
1524549621778: 255874 artists left
1524549622780: 255824 artists left
1524549623781: 255774 artists left
1524549624783: 255724 artists left
1524549625785: 255674 artists left
1524549626787: 255624 artists left
1524549627788: 255574 artists left
1524549628790: 255524 artists left
1524549629792: 255474 artists left
1524549630793: 255424 artists left
1524549631794: 255374 artists left
1524549632797: 255324 artists left
1524549633798: 255274 artists left
1524549634800: 255224 artists left
1524549635801: 255174 artists left
1524549636802: 255124 artists left
1524549637805: 255074 artists left
1524549638807: 255024 artists left
1524549639808: 254974 artists left
1524549640809: 254924 artists left
1524549641811: 254874 artists left
1524549642814: 254824 artists left
1524549643815: 254774 artists left
1524549644816: 254724 artists left
1524549645817: 254674 artists left
1524549646817: 254624 artists left
1524549647820: 254574 artists left
1524549648821: 254524 artists left
1524549649821: 254474 artists left
1524549650823: 254424 artists left
1524549651824: 254374 artists left
1524549652827: 254324 artists left
1524549653828: 254274 artists left
1524549654829: 254224 artists left
1524549655829: 254174 artists left
1524549656831: 254124 artists left
1524549657834: 254074 artists left
1524549658836: 254024 artists left
1524549659837: 253974 artists left
1524549660838: 253924 artists left
1524549661839: 253874 artists left
1524549662842: 253824 artists left
1524549663844: 253774 artists left
1524549664846: 253724 artists left
1524549665847: 253674 artists left
1524549666849: 253624 artists left
1524549667852: 253574 artists left
1524549668853: 253524 artists left
1524549669855: 253474 artists left
1524549670857: 253424 artists left
1524549671858: 253374 artists left
1524549672860: 253324 artists left
1524549673861: 253274 artists left
1524549674863: 253224 artists left
1524549675864: 253174 artists left
1524549676865: 253124 artists left
1524549677867: 253074 artists left
1524549678868: 253024 artists left
1524549679869: 252974 artists left
1524549680871: 252924 artists left
1524549681872: 252874 artists left
1524549682874: 252824 artists left
1524549683875: 252774 artists left
1524549684877: 252724 artists left
1524549685878: 252674 artists left
1524549686879: 252624 artists left
1524549687882: 252574 artists left
1524549688884: 252524 artists left
1524549689885: 252474 artists left
1524549690887: 252424 artists left
1524549691888: 252374 artists left
1524549692890: 252324 artists left
1524549693891: 252274 artists left
1524549694892: 252224 artists left
1524549695894: 252174 artists left
1524549696897: 252124 artists left
1524549697902: 252074 artists left
1524549698902: 252024 artists left
1524549699904: 251974 artists left
1524549700905: 251924 artists left
1524549701907: 251874 artists left
1524549702908: 251824 artists left
1524549703910: 251774 artists left
1524549704911: 251724 artists left
1524549705911: 251674 artists left
1524549706913: 251624 artists left
1524549707915: 251574 artists left
1524549708916: 251524 artists left
1524549709917: 251474 artists left
1524549710919: 251424 artists left
1524549711920: 251374 artists left
1524549712922: 251324 artists left
1524549713923: 251274 artists left
1524549714925: 251224 artists left
1524549715926: 251174 artists left
1524549716927: 251124 artists left
1524549717930: 251074 artists left
1524549718931: 251024 artists left
1524549719941: 250974 artists left
1524549720941: 250924 artists left
1524549721943: 250874 artists left
1524549722946: 250824 artists left
1524549723947: 250774 artists left
1524549724948: 250724 artists left
1524549725949: 250674 artists left
1524549726951: 250624 artists left
1524549727955: 250574 artists left
1524549728956: 250524 artists left
1524549729957: 250474 artists left
1524549730958: 250424 artists left
1524549731959: 250374 artists left
1524549732961: 250324 artists left
1524549733962: 250274 artists left
1524549734963: 250224 artists left
1524549735963: 250174 artists left
1524549736965: 250124 artists left
1524549737968: 250074 artists left
1524549738970: 250024 artists left
1524549739972: 249974 artists left
1524549740972: 249924 artists left
1524549741974: 249874 artists left
1524549742977: 249824 artists left
1524549743978: 249774 artists left
1524549744979: 249724 artists left
1524549745982: 249674 artists left
1524549746983: 249624 artists left
1524549747986: 249574 artists left
1524549748987: 249524 artists left
1524549749988: 249474 artists left
1524549750989: 249424 artists left
1524549751991: 249374 artists left
1524549752992: 249324 artists left
1524549753995: 249274 artists left
1524549754997: 249224 artists left
1524549755998: 249174 artists left
1524549756999: 249124 artists left
1524549758001: 249074 artists left
1524549759004: 249024 artists left
1524549760005: 248974 artists left
1524549761007: 248924 artists left
1524549762008: 248874 artists left
1524549763011: 248824 artists left
1524549764012: 248774 artists left
1524549765013: 248724 artists left
1524549766015: 248674 artists left
1524549767017: 248624 artists left
1524549768019: 248574 artists left
1524549769022: 248524 artists left
1524549770023: 248474 artists left
1524549771025: 248424 artists left
1524549772026: 248374 artists left
1524549773030: 248324 artists left
1524549774031: 248274 artists left
1524549775032: 248224 artists left
1524549776033: 248174 artists left
1524549777034: 248124 artists left
1524549778037: 248074 artists left
1524549779039: 248024 artists left
1524549780040: 247974 artists left
1524549781041: 247924 artists left
1524549782043: 247874 artists left
1524549783046: 247824 artists left
1524549784047: 247774 artists left
