Starting data collection at: 1526536803602
Connecting to database...
Connected
Spotify access token retrieved
Selected 256774 IDs from artist_info table
1526536812441: 256774 artists left
1526536813443: 256724 artists left
1526536814445: 256674 artists left
1526536815447: 256624 artists left
1526536816449: 256574 artists left
1526536817452: 256524 artists left
1526536818463: 256474 artists left
1526536819465: 256424 artists left
1526536820466: 256374 artists left
1526536821467: 256324 artists left
1526536822469: 256274 artists left
1526536823471: 256224 artists left
1526536824473: 256174 artists left
1526536825476: 256124 artists left
1526536826478: 256074 artists left
1526536827480: 256024 artists left
1526536828482: 255974 artists left
1526536829484: 255924 artists left
1526536830486: 255874 artists left
1526536831487: 255824 artists left
1526536832490: 255774 artists left
1526536833492: 255724 artists left
1526536834493: 255674 artists left
1526536835495: 255624 artists left
1526536836497: 255574 artists left
1526536837500: 255524 artists left
1526536838500: 255474 artists left
1526536839503: 255424 artists left
1526536840504: 255374 artists left
1526536841507: 255324 artists left
1526536842509: 255274 artists left
1526536843510: 255224 artists left
1526536844511: 255174 artists left
1526536845512: 255124 artists left
1526536846512: 255074 artists left
1526536847515: 255024 artists left
1526536848518: 254974 artists left
1526536849519: 254924 artists left
1526536850521: 254874 artists left
1526536851523: 254824 artists left
1526536852526: 254774 artists left
1526536853528: 254724 artists left
1526536854529: 254674 artists left
1526536855530: 254624 artists left
1526536856534: 254574 artists left
1526536857537: 254524 artists left
1526536858539: 254474 artists left
1526536859542: 254424 artists left
1526536860545: 254374 artists left
1526536861555: 254324 artists left
1526536862557: 254274 artists left
1526536863559: 254224 artists left
1526536864561: 254174 artists left
1526536865564: 254124 artists left
1526536866567: 254074 artists left
1526536867570: 254024 artists left
1526536868573: 253974 artists left
1526536869575: 253924 artists left
1526536870576: 253874 artists left
1526536871579: 253824 artists left
1526536872582: 253774 artists left
1526536873583: 253724 artists left
1526536874584: 253674 artists left
1526536875586: 253624 artists left
1526536876590: 253574 artists left
1526536877592: 253524 artists left
1526536878594: 253474 artists left
1526536879596: 253424 artists left
1526536880598: 253374 artists left
1526536881601: 253324 artists left
1526536882604: 253274 artists left
1526536883606: 253224 artists left
1526536884608: 253174 artists left
1526536885610: 253124 artists left
1526536886613: 253074 artists left
1526536887617: 253024 artists left
1526536888619: 252974 artists left
1526536889620: 252924 artists left
1526536890622: 252874 artists left
1526536891624: 252824 artists left
1526536892628: 252774 artists left
1526536893629: 252724 artists left
1526536894631: 252674 artists left
1526536895633: 252624 artists left
1526536896636: 252574 artists left
1526536897639: 252524 artists left
1526536898642: 252474 artists left
1526536899644: 252424 artists left
1526536900646: 252374 artists left
1526536901649: 252324 artists left
1526536902652: 252274 artists left
1526536903654: 252224 artists left
1526536904656: 252174 artists left
1526536905659: 252124 artists left
1526536906663: 252074 artists left
1526536907665: 252024 artists left
1526536908667: 251974 artists left
1526536909668: 251924 artists left
1526536910670: 251874 artists left
1526536911671: 251824 artists left
1526536912675: 251774 artists left
1526536913677: 251724 artists left
1526536914678: 251674 artists left
1526536915680: 251624 artists left
1526536916683: 251574 artists left
1526536917687: 251524 artists left
1526536918688: 251474 artists left
1526536919689: 251424 artists left
1526536920691: 251374 artists left
1526536921692: 251324 artists left
1526536922695: 251274 artists left
1526536923696: 251224 artists left
1526536924698: 251174 artists left
1526536925699: 251124 artists left
1526536926702: 251074 artists left
1526536927704: 251024 artists left
1526536928713: 250974 artists left
1526536929714: 250924 artists left
1526536930715: 250874 artists left
1526536931717: 250824 artists left
1526536932720: 250774 artists left
1526536933722: 250724 artists left
1526536934724: 250674 artists left
1526536935726: 250624 artists left
1526536936729: 250574 artists left
1526536937732: 250524 artists left
1526536938735: 250474 artists left
1526536939736: 250424 artists left
1526536940737: 250374 artists left
1526536941738: 250324 artists left
1526536942742: 250274 artists left
1526536943743: 250224 artists left
1526536944745: 250174 artists left
1526536945747: 250124 artists left
1526536946749: 250074 artists left
1526536947752: 250024 artists left
1526536948754: 249974 artists left
1526536949755: 249924 artists left
1526536950757: 249874 artists left
1526536951760: 249824 artists left
1526536952763: 249774 artists left
1526536953767: 249724 artists left
1526536954768: 249674 artists left
1526536955771: 249624 artists left
1526536956772: 249574 artists left
1526536957774: 249524 artists left
1526536958776: 249474 artists left
1526536959778: 249424 artists left
1526536960780: 249374 artists left
1526536961783: 249324 artists left
1526536962785: 249274 artists left
1526536963786: 249224 artists left
1526536964788: 249174 artists left
1526536965790: 249124 artists left
1526536966793: 249074 artists left
1526536967794: 249024 artists left
1526536968795: 248974 artists left
1526536969797: 248924 artists left
1526536970798: 248874 artists left
1526536971800: 248824 artists left
1526536972802: 248774 artists left
1526536973804: 248724 artists left
1526536974808: 248674 artists left
1526536975811: 248624 artists left
1526536976812: 248574 artists left
1526536977814: 248524 artists left
1526536978816: 248474 artists left
1526536979821: 248424 artists left
1526536980822: 248374 artists left
1526536981825: 248324 artists left
1526536982826: 248274 artists left
1526536983827: 248224 artists left
1526536984831: 248174 artists left
1526536985832: 248124 artists left
1526536986836: 248074 artists left
1526536987837: 248024 artists left
1526536988839: 247974 artists left
1526536989843: 247924 artists left
1526536990845: 247874 artists left
1526536991847: 247824 artists left
1526536992848: 247774 artists left
1526536993850: 247724 artists left
1526536994853: 247674 artists left
1526536995855: 247624 artists left
1526536996856: 247574 artists left
1526536997857: 247524 artists left
1526536998858: 247474 artists left
1526536999861: 247424 artists left
1526537000862: 247374 artists left
1526537001864: 247324 artists left
1526537002865: 247274 artists left
1526537003867: 247224 artists left
1526537004870: 247174 artists left
1526537005872: 247124 artists left
1526537006874: 247074 artists left
1526537007876: 247024 artists left
1526537008879: 246974 artists left
1526537009882: 246924 artists left
1526537010884: 246874 artists left
1526537011885: 246824 artists left
1526537012888: 246774 artists left
1526537013890: 246724 artists left
1526537014892: 246674 artists left
1526537015895: 246624 artists left
1526537016896: 246574 artists left
1526537017897: 246524 artists left
1526537018900: 246474 artists left
1526537019903: 246424 artists left
1526537020905: 246374 artists left
1526537021908: 246324 artists left
1526537022909: 246274 artists left
1526537023910: 246224 artists left
1526537024914: 246174 artists left
1526537025915: 246124 artists left
1526537026918: 246074 artists left
1526537027919: 246024 artists left
1526537028920: 245974 artists left
1526537029923: 245924 artists left
1526537030925: 245874 artists left
1526537031928: 245824 artists left
1526537032929: 245774 artists left
1526537033931: 245724 artists left
1526537034933: 245674 artists left
1526537035936: 245624 artists left
1526537036937: 245574 artists left
1526537037938: 245524 artists left
1526537038939: 245474 artists left
1526537039943: 245424 artists left
1526537040944: 245374 artists left
1526537041945: 245324 artists left
1526537042947: 245274 artists left
1526537043949: 245224 artists left
1526537044952: 245174 artists left
1526537045954: 245124 artists left
1526537046956: 245074 artists left
1526537047957: 245024 artists left
1526537048959: 244974 artists left
1526537049961: 244924 artists left
1526537050964: 244874 artists left
1526537051968: 244824 artists left
1526537052970: 244774 artists left
1526537053971: 244724 artists left
1526537054974: 244674 artists left
1526537055976: 244624 artists left
1526537056980: 244574 artists left
1526537057981: 244524 artists left
1526537058984: 244474 artists left
1526537059986: 244424 artists left
1526537060989: 244374 artists left
1526537061990: 244324 artists left
1526537062991: 244274 artists left
1526537063992: 244224 artists left
1526537064995: 244174 artists left
1526537065996: 244124 artists left
1526537067000: 244074 artists left
1526537068001: 244024 artists left
1526537069002: 243974 artists left
1526537070005: 243924 artists left
1526537071007: 243874 artists left
1526537072010: 243824 artists left
1526537073013: 243774 artists left
1526537074014: 243724 artists left
1526537075018: 243674 artists left
1526537076019: 243624 artists left
1526537077020: 243574 artists left
1526537078021: 243524 artists left
1526537079023: 243474 artists left
1526537080026: 243424 artists left
1526537081028: 243374 artists left
1526537082030: 243324 artists left
1526537083032: 243274 artists left
1526537084034: 243224 artists left
1526537085037: 243174 artists left
1526537086040: 243124 artists left
1526537087041: 243074 artists left
1526537088042: 243024 artists left
1526537089044: 242974 artists left
1526537090046: 242924 artists left
1526537091048: 242874 artists left
1526537092051: 242824 artists left
1526537093052: 242774 artists left
1526537094054: 242724 artists left
1526537095058: 242674 artists left
1526537096059: 242624 artists left
1526537097061: 242574 artists left
1526537098063: 242524 artists left
1526537099064: 242474 artists left
1526537100067: 242424 artists left
1526537101069: 242374 artists left
1526537102070: 242324 artists left
1526537103071: 242274 artists left
1526537104073: 242224 artists left
1526537105076: 242174 artists left
1526537106078: 242124 artists left
1526537107080: 242074 artists left
1526537108081: 242024 artists left
1526537109083: 241974 artists left
1526537110087: 241924 artists left
1526537111088: 241874 artists left
1526537112089: 241824 artists left
1526537113091: 241774 artists left
1526537114092: 241724 artists left
1526537115095: 241674 artists left
1526537116098: 241624 artists left
1526537117100: 241574 artists left
1526537118101: 241524 artists left
1526537119103: 241474 artists left
1526537120106: 241424 artists left
1526537121108: 241374 artists left
1526537122109: 241324 artists left
1526537123111: 241274 artists left
1526537124114: 241224 artists left
1526537125116: 241174 artists left
1526537126118: 241124 artists left
1526537127121: 241074 artists left
1526537128122: 241024 artists left
1526537129125: 240974 artists left
1526537130127: 240924 artists left
1526537131130: 240874 artists left
1526537132131: 240824 artists left
1526537133132: 240774 artists left
1526537134134: 240724 artists left
1526537135137: 240674 artists left
1526537136140: 240624 artists left
1526537137142: 240574 artists left
1526537138143: 240524 artists left
1526537139144: 240474 artists left
1526537140148: 240424 artists left
1526537141149: 240374 artists left
1526537142151: 240324 artists left
1526537143152: 240274 artists left
1526537144153: 240224 artists left
1526537145157: 240174 artists left
1526537146158: 240124 artists left
1526537147160: 240074 artists left
1526537148162: 240024 artists left
1526537149164: 239974 artists left
1526537150167: 239924 artists left
1526537151168: 239874 artists left
1526537152170: 239824 artists left
1526537153172: 239774 artists left
1526537154173: 239724 artists left
1526537155177: 239674 artists left
1526537156178: 239624 artists left
1526537157179: 239574 artists left
1526537158181: 239524 artists left
1526537159183: 239474 artists left
1526537160185: 239424 artists left
1526537161188: 239374 artists left
1526537162189: 239324 artists left
1526537163192: 239274 artists left
1526537164194: 239224 artists left
1526537165197: 239174 artists left
1526537166199: 239124 artists left
1526537167201: 239074 artists left
1526537168205: 239024 artists left
1526537169207: 238974 artists left
1526537170209: 238924 artists left
1526537171211: 238874 artists left
1526537172212: 238824 artists left
1526537173213: 238774 artists left
1526537174214: 238724 artists left
1526537175217: 238674 artists left
1526537176218: 238624 artists left
1526537177220: 238574 artists left
1526537178222: 238524 artists left
1526537179223: 238474 artists left
1526537180225: 238424 artists left
1526537181227: 238374 artists left
1526537182229: 238324 artists left
1526537183232: 238274 artists left
1526537184233: 238224 artists left
1526537185237: 238174 artists left
1526537186239: 238124 artists left
1526537187240: 238074 artists left
1526537188241: 238024 artists left
1526537189244: 237974 artists left
1526537190246: 237924 artists left
1526537191249: 237874 artists left
1526537192251: 237824 artists left
1526537193252: 237774 artists left
1526537194253: 237724 artists left
1526537195256: 237674 artists left
1526537196259: 237624 artists left
1526537197260: 237574 artists left
1526537198262: 237524 artists left
1526537199263: 237474 artists left
1526537200266: 237424 artists left
1526537201267: 237374 artists left
1526537202270: 237324 artists left
1526537203271: 237274 artists left
1526537204272: 237224 artists left
1526537205274: 237174 artists left
