Starting data collection at: 1520128802057
Connecting to database...
Connected
Spotify access token retrieved
Selected 76516 IDs from artist_info table
1520128803513: 76516 artists left
1520128804515: 76466 artists left
1520128805517: 76416 artists left
1520128806519: 76366 artists left
1520128807520: 76316 artists left
1520128808524: 76266 artists left
1520128809532: 76216 artists left
1520128810534: 76166 artists left
1520128811535: 76116 artists left
1520128812536: 76066 artists left
1520128813539: 76016 artists left
1520128814540: 75966 artists left
1520128815541: 75916 artists left
1520128816542: 75866 artists left
1520128817545: 75816 artists left
1520128818570: 75766 artists left
1520128819572: 75716 artists left
1520128820573: 75666 artists left
1520128821574: 75616 artists left
1520128822576: 75566 artists left
1520128823578: 75516 artists left
1520128824587: 75466 artists left
1520128825589: 75416 artists left
1520128826591: 75366 artists left
1520128827593: 75316 artists left
1520128828595: 75266 artists left
1520128829597: 75216 artists left
1520128830598: 75166 artists left
1520128831599: 75116 artists left
1520128832601: 75066 artists left
1520128833603: 75016 artists left
1520128834604: 74966 artists left
1520128835605: 74916 artists left
1520128836608: 74866 artists left
1520128837609: 74816 artists left
1520128838611: 74766 artists left
1520128839612: 74716 artists left
1520128840613: 74666 artists left
1520128841614: 74616 artists left
1520128842616: 74566 artists left
1520128843618: 74516 artists left
1520128844619: 74466 artists left
1520128845620: 74416 artists left
1520128846622: 74366 artists left
1520128847623: 74316 artists left
1520128848625: 74266 artists left
1520128849627: 74216 artists left
1520128850630: 74166 artists left
1520128851632: 74116 artists left
1520128852633: 74066 artists left
1520128853637: 74016 artists left
1520128854639: 73966 artists left
1520128855641: 73916 artists left
1520128856642: 73866 artists left
1520128857643: 73816 artists left
1520128858645: 73766 artists left
1520128859646: 73716 artists left
1520128860647: 73666 artists left
1520128861648: 73616 artists left
1520128862649: 73566 artists left
1520128863652: 73516 artists left
1520128864653: 73466 artists left
1520128865654: 73416 artists left
1520128866655: 73366 artists left
1520128867657: 73316 artists left
1520128868659: 73266 artists left
1520128869660: 73216 artists left
1520128870661: 73166 artists left
1520128871662: 73116 artists left
1520128872664: 73066 artists left
1520128873666: 73016 artists left
1520128874667: 72966 artists left
1520128875668: 72916 artists left
1520128876670: 72866 artists left
1520128877672: 72816 artists left
1520128878675: 72766 artists left
1520128879676: 72716 artists left
1520128880678: 72666 artists left
1520128881679: 72616 artists left
1520128882680: 72566 artists left
1520128883682: 72516 artists left
