Starting data collection at: 1522130402161
Connecting to database...
Connected
Spotify access token retrieved
Selected 169147 IDs from artist_info table
1522130404303: 169147 artists left
1522130405305: 169097 artists left
1522130406307: 169047 artists left
1522130407308: 168997 artists left
1522130408312: 168947 artists left
1522130409314: 168897 artists left
1522130410323: 168847 artists left
1522130411325: 168797 artists left
1522130412326: 168747 artists left
1522130413328: 168697 artists left
1522130414330: 168647 artists left
1522130415331: 168597 artists left
1522130416332: 168547 artists left
1522130417333: 168497 artists left
1522130418336: 168447 artists left
1522130419337: 168397 artists left
1522130420338: 168347 artists left
1522130421339: 168297 artists left
1522130422340: 168247 artists left
1522130423342: 168197 artists left
1522130424343: 168147 artists left
1522130425344: 168097 artists left
1522130426346: 168047 artists left
1522130427347: 167997 artists left
1522130428350: 167947 artists left
1522130429352: 167897 artists left
1522130430354: 167847 artists left
1522130431356: 167797 artists left
1522130432357: 167747 artists left
1522130433360: 167697 artists left
1522130434362: 167647 artists left
1522130435363: 167597 artists left
1522130436365: 167547 artists left
1522130437366: 167497 artists left
1522130438368: 167447 artists left
1522130439369: 167397 artists left
1522130440370: 167347 artists left
1522130441371: 167297 artists left
1522130442372: 167247 artists left
1522130443375: 167197 artists left
1522130444377: 167147 artists left
1522130445379: 167097 artists left
1522130446381: 167047 artists left
1522130447383: 166997 artists left
1522130448386: 166947 artists left
1522130449388: 166897 artists left
1522130450390: 166847 artists left
1522130451392: 166797 artists left
1522130452393: 166747 artists left
1522130453396: 166697 artists left
1522130454399: 166647 artists left
1522130455401: 166597 artists left
1522130456402: 166547 artists left
1522130457405: 166497 artists left
1522130458407: 166447 artists left
1522130459409: 166397 artists left
1522130460411: 166347 artists left
1522130461413: 166297 artists left
1522130462414: 166247 artists left
1522130463417: 166197 artists left
1522130464418: 166147 artists left
1522130465419: 166097 artists left
1522130466420: 166047 artists left
1522130467422: 165997 artists left
1522130468425: 165947 artists left
1522130469427: 165897 artists left
1522130470428: 165847 artists left
1522130471430: 165797 artists left
1522130472431: 165747 artists left
1522130473434: 165697 artists left
1522130474435: 165647 artists left
1522130475438: 165597 artists left
1522130476440: 165547 artists left
1522130477442: 165497 artists left
1522130478444: 165447 artists left
1522130479445: 165397 artists left
1522130480446: 165347 artists left
1522130481448: 165297 artists left
1522130482449: 165247 artists left
1522130483451: 165197 artists left
1522130484453: 165147 artists left
1522130485454: 165097 artists left
1522130486456: 165047 artists left
1522130487457: 164997 artists left
1522130488460: 164947 artists left
1522130489463: 164897 artists left
1522130490465: 164847 artists left
1522130491467: 164797 artists left
1522130492469: 164747 artists left
1522130493471: 164697 artists left
1522130494472: 164647 artists left
1522130495473: 164597 artists left
1522130496475: 164547 artists left
1522130497477: 164497 artists left
1522130498482: 164447 artists left
1522130499483: 164397 artists left
1522130500485: 164347 artists left
1522130501489: 164297 artists left
1522130502490: 164247 artists left
1522130503494: 164197 artists left
1522130504496: 164147 artists left
1522130505497: 164097 artists left
1522130506498: 164047 artists left
1522130507500: 163997 artists left
1522130508502: 163947 artists left
1522130509504: 163897 artists left
1522130510505: 163847 artists left
1522130511506: 163797 artists left
