Starting data collection at: 1525932001767
Connecting to database...
Connected
Spotify access token retrieved
Selected 256774 IDs from artist_info table
1525932003824: 256774 artists left
1525932004826: 256724 artists left
1525932005828: 256674 artists left
1525932006830: 256624 artists left
1525932007834: 256574 artists left
1525932008836: 256524 artists left
1525932009843: 256474 artists left
1525932010844: 256424 artists left
1525932011845: 256374 artists left
1525932012849: 256324 artists left
1525932013850: 256274 artists left
1525932014852: 256224 artists left
1525932015853: 256174 artists left
1525932016855: 256124 artists left
1525932017857: 256074 artists left
1525932018859: 256024 artists left
1525932019860: 255974 artists left
1525932020862: 255924 artists left
1525932021863: 255874 artists left
1525932022866: 255824 artists left
1525932023868: 255774 artists left
1525932024869: 255724 artists left
1525932025871: 255674 artists left
1525932026873: 255624 artists left
1525932027875: 255574 artists left
1525932028877: 255524 artists left
1525932029879: 255474 artists left
1525932030880: 255424 artists left
1525932031882: 255374 artists left
1525932032884: 255324 artists left
1525932033887: 255274 artists left
1525932034887: 255224 artists left
1525932035889: 255174 artists left
1525932036891: 255124 artists left
1525932037894: 255074 artists left
1525932038896: 255024 artists left
1525932039898: 254974 artists left
1525932040900: 254924 artists left
1525932041901: 254874 artists left
1525932042903: 254824 artists left
1525932043904: 254774 artists left
1525932044907: 254724 artists left
1525932045909: 254674 artists left
1525932046910: 254624 artists left
1525932047912: 254574 artists left
1525932048914: 254524 artists left
1525932049916: 254474 artists left
1525932050917: 254424 artists left
1525932051918: 254374 artists left
1525932052921: 254324 artists left
1525932053922: 254274 artists left
1525932054940: 254224 artists left
1525932055943: 254174 artists left
1525932056945: 254124 artists left
1525932057947: 254074 artists left
1525932058949: 254024 artists left
1525932059952: 253974 artists left
1525932060954: 253924 artists left
1525932061956: 253874 artists left
1525932062960: 253824 artists left
1525932063962: 253774 artists left
1525932064963: 253724 artists left
1525932065974: 253674 artists left
1525932066977: 253624 artists left
1525932067979: 253574 artists left
1525932068981: 253524 artists left
1525932069983: 253474 artists left
1525932070984: 253424 artists left
1525932071987: 253374 artists left
1525932072991: 253324 artists left
1525932073992: 253274 artists left
1525932074994: 253224 artists left
1525932075995: 253174 artists left
1525932076996: 253124 artists left
1525932078000: 253074 artists left
1525932079001: 253024 artists left
1525932080003: 252974 artists left
1525932081005: 252924 artists left
1525932082006: 252874 artists left
1525932083010: 252824 artists left
1525932084011: 252774 artists left
1525932085012: 252724 artists left
1525932086014: 252674 artists left
1525932087016: 252624 artists left
1525932088020: 252574 artists left
1525932089022: 252524 artists left
1525932090024: 252474 artists left
1525932091025: 252424 artists left
1525932092027: 252374 artists left
1525932093031: 252324 artists left
1525932094034: 252274 artists left
1525932095036: 252224 artists left
1525932096037: 252174 artists left
1525932097039: 252124 artists left
1525932098046: 252074 artists left
1525932099047: 252024 artists left
1525932100050: 251974 artists left
1525932101051: 251924 artists left
1525932102052: 251874 artists left
1525932103056: 251824 artists left
1525932104057: 251774 artists left
1525932105058: 251724 artists left
1525932106059: 251674 artists left
1525932107060: 251624 artists left
1525932108064: 251574 artists left
1525932109065: 251524 artists left
1525932110066: 251474 artists left
1525932111067: 251424 artists left
1525932112068: 251374 artists left
1525932113071: 251324 artists left
1525932114073: 251274 artists left
1525932115074: 251224 artists left
1525932116076: 251174 artists left
1525932117078: 251124 artists left
1525932118081: 251074 artists left
1525932119082: 251024 artists left
1525932120093: 250974 artists left
1525932121094: 250924 artists left
1525932122095: 250874 artists left
1525932123097: 250824 artists left
1525932124100: 250774 artists left
1525932125102: 250724 artists left
1525932126104: 250674 artists left
1525932127107: 250624 artists left
1525932128109: 250574 artists left
1525932129110: 250524 artists left
1525932130111: 250474 artists left
1525932131113: 250424 artists left
1525932132115: 250374 artists left
1525932133118: 250324 artists left
1525932134119: 250274 artists left
1525932135122: 250224 artists left
1525932136123: 250174 artists left
1525932137124: 250124 artists left
1525932138127: 250074 artists left
1525932139128: 250024 artists left
1525932140130: 249974 artists left
1525932141131: 249924 artists left
1525932142133: 249874 artists left
1525932143137: 249824 artists left
1525932144138: 249774 artists left
1525932145141: 249724 artists left
1525932146142: 249674 artists left
1525932147144: 249624 artists left
1525932148146: 249574 artists left
1525932149147: 249524 artists left
1525932150150: 249474 artists left
1525932151151: 249424 artists left
1525932152152: 249374 artists left
1525932153155: 249324 artists left
1525932154156: 249274 artists left
1525932155158: 249224 artists left
