Starting data collection at: 1530165603949
Connecting to database...
Connected
Spotify access token retrieved
Selected 256774 IDs from artist_info table
1530165606609: 256774 artists left
1530165607611: 256724 artists left
1530165608616: 256674 artists left
1530165609618: 256624 artists left
1530165610620: 256574 artists left
1530165611622: 256524 artists left
1530165612629: 256474 artists left
1530165613632: 256424 artists left
1530165614634: 256374 artists left
1530165615635: 256324 artists left
1530165616638: 256274 artists left
1530165617639: 256224 artists left
1530165618643: 256174 artists left
1530165619644: 256124 artists left
1530165620645: 256074 artists left
1530165621648: 256024 artists left
1530165622650: 255974 artists left
1530165623652: 255924 artists left
1530165624654: 255874 artists left
1530165625656: 255824 artists left
1530165626658: 255774 artists left
1530165627661: 255724 artists left
1530165628662: 255674 artists left
1530165629665: 255624 artists left
1530165630667: 255574 artists left
1530165631668: 255524 artists left
1530165632670: 255474 artists left
1530165633674: 255424 artists left
1530165634675: 255374 artists left
1530165635678: 255324 artists left
1530165636678: 255274 artists left
1530165637680: 255224 artists left
1530165638683: 255174 artists left
1530165639685: 255124 artists left
1530165640687: 255074 artists left
1530165641689: 255024 artists left
1530165642690: 254974 artists left
1530165643693: 254924 artists left
1530165644695: 254874 artists left
1530165645697: 254824 artists left
1530165646698: 254774 artists left
1530165647700: 254724 artists left
1530165648704: 254674 artists left
1530165649705: 254624 artists left
1530165650707: 254574 artists left
1530165651708: 254524 artists left
1530165652709: 254474 artists left
1530165653712: 254424 artists left
1530165654714: 254374 artists left
1530165655716: 254324 artists left
1530165656718: 254274 artists left
1530165657720: 254224 artists left
1530165658722: 254174 artists left
1530165659724: 254124 artists left
1530165660726: 254074 artists left
1530165661727: 254024 artists left
1530165662731: 253974 artists left
1530165663735: 253924 artists left
1530165664738: 253874 artists left
1530165665739: 253824 artists left
1530165666742: 253774 artists left
1530165667751: 253724 artists left
1530165668754: 253674 artists left
1530165669755: 253624 artists left
1530165670757: 253574 artists left
1530165671759: 253524 artists left
1530165672760: 253474 artists left
1530165673764: 253424 artists left
1530165674766: 253374 artists left
1530165675767: 253324 artists left
1530165676770: 253274 artists left
1530165677773: 253224 artists left
1530165678776: 253174 artists left
1530165679779: 253124 artists left
1530165680780: 253074 artists left
1530165681783: 253024 artists left
1530165682786: 252974 artists left
1530165683789: 252924 artists left
1530165684791: 252874 artists left
1530165685793: 252824 artists left
1530165686795: 252774 artists left
1530165687799: 252724 artists left
1530165688802: 252674 artists left
1530165689804: 252624 artists left
1530165690806: 252574 artists left
1530165691808: 252524 artists left
1530165692810: 252474 artists left
1530165693814: 252424 artists left
1530165694816: 252374 artists left
1530165695817: 252324 artists left
1530165696820: 252274 artists left
1530165697822: 252224 artists left
1530165698824: 252174 artists left
1530165699826: 252124 artists left
1530165700830: 252074 artists left
1530165701831: 252024 artists left
1530165702835: 251974 artists left
1530165703837: 251924 artists left
1530165704839: 251874 artists left
1530165705841: 251824 artists left
1530165706844: 251774 artists left
1530165707847: 251724 artists left
1530165708850: 251674 artists left
1530165709853: 251624 artists left
1530165710854: 251574 artists left
1530165711856: 251524 artists left
1530165712859: 251474 artists left
1530165713863: 251424 artists left
1530165714864: 251374 artists left
1530165715866: 251324 artists left
1530165716868: 251274 artists left
1530165717872: 251224 artists left
1530165718875: 251174 artists left
1530165719876: 251124 artists left
1530165720877: 251074 artists left
1530165721879: 251024 artists left
1530165722889: 250974 artists left
1530165723892: 250924 artists left
1530165724893: 250874 artists left
1530165725894: 250824 artists left
1530165726895: 250774 artists left
1530165727898: 250724 artists left
1530165728901: 250674 artists left
1530165729902: 250624 artists left
1530165730904: 250574 artists left
1530165731905: 250524 artists left
1530165732908: 250474 artists left
1530165733910: 250424 artists left
1530165734913: 250374 artists left
1530165735914: 250324 artists left
1530165736917: 250274 artists left
1530165737918: 250224 artists left
1530165738921: 250174 artists left
1530165739923: 250124 artists left
1530165740924: 250074 artists left
1530165741925: 250024 artists left
1530165742927: 249974 artists left
1530165743929: 249924 artists left
1530165744931: 249874 artists left
1530165745933: 249824 artists left
1530165746937: 249774 artists left
1530165747938: 249724 artists left
1530165748941: 249674 artists left
1530165749943: 249624 artists left
1530165750945: 249574 artists left
1530165751948: 249524 artists left
1530165752949: 249474 artists left
1530165753952: 249424 artists left
1530165754954: 249374 artists left
1530165755957: 249324 artists left
1530165756958: 249274 artists left
1530165757960: 249224 artists left
1530165758966: 249174 artists left
1530165759967: 249124 artists left
1530165760968: 249074 artists left
1530165761970: 249024 artists left
1530165762972: 248974 artists left
1530165763976: 248924 artists left
1530165764978: 248874 artists left
1530165765979: 248824 artists left
1530165766982: 248774 artists left
1530165767984: 248724 artists left
1530165768987: 248674 artists left
1530165769988: 248624 artists left
1530165770991: 248574 artists left
1530165771992: 248524 artists left
1530165772993: 248474 artists left
1530165773995: 248424 artists left
1530165774996: 248374 artists left
1530165775998: 248324 artists left
1530165777000: 248274 artists left
1530165778001: 248224 artists left
1530165779004: 248174 artists left
1530165780005: 248124 artists left
1530165781008: 248074 artists left
1530165782011: 248024 artists left
1530165783012: 247974 artists left
1530165784014: 247924 artists left
1530165785017: 247874 artists left
1530165786019: 247824 artists left
1530165787021: 247774 artists left
1530165788023: 247724 artists left
1530165789027: 247674 artists left
1530165790028: 247624 artists left
1530165791029: 247574 artists left
1530165792030: 247524 artists left
1530165793033: 247474 artists left
1530165794036: 247424 artists left
1530165795038: 247374 artists left
1530165796040: 247324 artists left
1530165797042: 247274 artists left
1530165798043: 247224 artists left
1530165799045: 247174 artists left
1530165800046: 247124 artists left
1530165801047: 247074 artists left
1530165802049: 247024 artists left
1530165803051: 246974 artists left
1530165804055: 246924 artists left
1530165805057: 246874 artists left
1530165806058: 246824 artists left
1530165807060: 246774 artists left
1530165808061: 246724 artists left
1530165809064: 246674 artists left
1530165810066: 246624 artists left
1530165811067: 246574 artists left
1530165812069: 246524 artists left
1530165813070: 246474 artists left
1530165814073: 246424 artists left
1530165815074: 246374 artists left
1530165816078: 246324 artists left
1530165817079: 246274 artists left
1530165818082: 246224 artists left
1530165819084: 246174 artists left
1530165820085: 246124 artists left
1530165821089: 246074 artists left
1530165822090: 246024 artists left
1530165823092: 245974 artists left
1530165824093: 245924 artists left
1530165825095: 245874 artists left
1530165826098: 245824 artists left
1530165827099: 245774 artists left
1530165828100: 245724 artists left
1530165829104: 245674 artists left
1530165830106: 245624 artists left
1530165831110: 245574 artists left
1530165832111: 245524 artists left
1530165833113: 245474 artists left
1530165834117: 245424 artists left
1530165835119: 245374 artists left
1530165836121: 245324 artists left
1530165837123: 245274 artists left
1530165838125: 245224 artists left
1530165839127: 245174 artists left
1530165840129: 245124 artists left
1530165841130: 245074 artists left
1530165842131: 245024 artists left
1530165843134: 244974 artists left
1530165844137: 244924 artists left
1530165845138: 244874 artists left
1530165846140: 244824 artists left
1530165847141: 244774 artists left
1530165848143: 244724 artists left
1530165849147: 244674 artists left
1530165850149: 244624 artists left
1530165851151: 244574 artists left
1530165852152: 244524 artists left
1530165853155: 244474 artists left
1530165854157: 244424 artists left
1530165855159: 244374 artists left
1530165856160: 244324 artists left
1530165857162: 244274 artists left
1530165858164: 244224 artists left
1530165859168: 244174 artists left
1530165860170: 244124 artists left
1530165861173: 244074 artists left
1530165862175: 244024 artists left
1530165863176: 243974 artists left
1530165864179: 243924 artists left
1530165865181: 243874 artists left
