Starting data collection at: 1529474403882
Connecting to database...
Connected
Spotify access token retrieved
Selected 256774 IDs from artist_info table
1529474407229: 256774 artists left
1529474408232: 256724 artists left
1529474409235: 256674 artists left
1529474410236: 256624 artists left
1529474411239: 256574 artists left
1529474412241: 256524 artists left
1529474413250: 256474 artists left
1529474414250: 256424 artists left
1529474415253: 256374 artists left
1529474416254: 256324 artists left
1529474417256: 256274 artists left
1529474418259: 256224 artists left
1529474419261: 256174 artists left
1529474420263: 256124 artists left
1529474421265: 256074 artists left
1529474422267: 256024 artists left
1529474423271: 255974 artists left
1529474424272: 255924 artists left
1529474425274: 255874 artists left
1529474426277: 255824 artists left
1529474427278: 255774 artists left
1529474428282: 255724 artists left
1529474429284: 255674 artists left
1529474430286: 255624 artists left
1529474431288: 255574 artists left
1529474432289: 255524 artists left
1529474433292: 255474 artists left
1529474434294: 255424 artists left
1529474435296: 255374 artists left
1529474436298: 255324 artists left
1529474437300: 255274 artists left
1529474438303: 255224 artists left
1529474439305: 255174 artists left
1529474440307: 255124 artists left
1529474441309: 255074 artists left
1529474442312: 255024 artists left
1529474443315: 254974 artists left
1529474444317: 254924 artists left
1529474445319: 254874 artists left
1529474446321: 254824 artists left
1529474447324: 254774 artists left
1529474448327: 254724 artists left
1529474449329: 254674 artists left
1529474450331: 254624 artists left
1529474451333: 254574 artists left
1529474452335: 254524 artists left
1529474453338: 254474 artists left
1529474454339: 254424 artists left
1529474455342: 254374 artists left
1529474456344: 254324 artists left
1529474457345: 254274 artists left
1529474458348: 254224 artists left
1529474459350: 254174 artists left
1529474460352: 254124 artists left
1529474461354: 254074 artists left
1529474462355: 254024 artists left
1529474463358: 253974 artists left
1529474464361: 253924 artists left
1529474465362: 253874 artists left
1529474466364: 253824 artists left
1529474467367: 253774 artists left
1529474468370: 253724 artists left
1529474469372: 253674 artists left
1529474470376: 253624 artists left
1529474471380: 253574 artists left
1529474472382: 253524 artists left
1529474473385: 253474 artists left
1529474474387: 253424 artists left
1529474475389: 253374 artists left
1529474476398: 253324 artists left
1529474477401: 253274 artists left
1529474478404: 253224 artists left
