Starting data collection at: 1524376801450
Connecting to database...
Connected
Spotify access token retrieved
Selected 256774 IDs from artist_info table
1524376803349: 256774 artists left
1524376804351: 256724 artists left
1524376805354: 256674 artists left
1524376806365: 256624 artists left
1524376807366: 256574 artists left
1524376808368: 256524 artists left
1524376809379: 256474 artists left
1524376810379: 256424 artists left
1524376811382: 256374 artists left
1524376812384: 256324 artists left
1524376813385: 256274 artists left
1524376814387: 256224 artists left
1524376815388: 256174 artists left
1524376816390: 256124 artists left
1524376817391: 256074 artists left
1524376818391: 256024 artists left
1524376819393: 255974 artists left
1524376820395: 255924 artists left
1524376821397: 255874 artists left
1524376822399: 255824 artists left
1524376823401: 255774 artists left
1524376824402: 255724 artists left
1524376825403: 255674 artists left
1524376826406: 255624 artists left
1524376827406: 255574 artists left
1524376828408: 255524 artists left
1524376829408: 255474 artists left
1524376830410: 255424 artists left
1524376831413: 255374 artists left
1524376832414: 255324 artists left
1524376833415: 255274 artists left
1524376834416: 255224 artists left
1524376835418: 255174 artists left
1524376836421: 255124 artists left
1524376837422: 255074 artists left
1524376838423: 255024 artists left
1524376839424: 254974 artists left
1524376840425: 254924 artists left
1524376841428: 254874 artists left
1524376842430: 254824 artists left
1524376843431: 254774 artists left
1524376844433: 254724 artists left
1524376845435: 254674 artists left
1524376846439: 254624 artists left
1524376847441: 254574 artists left
1524376848443: 254524 artists left
1524376849454: 254474 artists left
1524376850455: 254424 artists left
1524376851457: 254374 artists left
1524376852459: 254324 artists left
1524376853460: 254274 artists left
1524376854462: 254224 artists left
1524376855462: 254174 artists left
1524376856465: 254124 artists left
1524376857467: 254074 artists left
1524376858468: 254024 artists left
1524376859469: 253974 artists left
1524376860471: 253924 artists left
1524376861473: 253874 artists left
1524376862474: 253824 artists left
1524376863475: 253774 artists left
1524376864477: 253724 artists left
1524376865479: 253674 artists left
1524376866482: 253624 artists left
1524376867484: 253574 artists left
1524376868485: 253524 artists left
1524376869485: 253474 artists left
1524376870487: 253424 artists left
1524376871490: 253374 artists left
1524376872492: 253324 artists left
1524376873494: 253274 artists left
1524376874496: 253224 artists left
1524376875497: 253174 artists left
1524376876500: 253124 artists left
1524376877500: 253074 artists left
1524376878502: 253024 artists left
1524376879503: 252974 artists left
1524376880504: 252924 artists left
1524376881506: 252874 artists left
1524376882507: 252824 artists left
1524376883509: 252774 artists left
1524376884510: 252724 artists left
1524376885512: 252674 artists left
1524376886515: 252624 artists left
1524376887516: 252574 artists left
1524376888518: 252524 artists left
1524376889519: 252474 artists left
1524376890520: 252424 artists left
1524376891523: 252374 artists left
1524376892524: 252324 artists left
1524376893526: 252274 artists left
1524376894527: 252224 artists left
1524376895529: 252174 artists left
1524376896532: 252124 artists left
1524376897535: 252074 artists left
1524376898536: 252024 artists left
1524376899537: 251974 artists left
1524376900539: 251924 artists left
1524376901541: 251874 artists left
1524376902543: 251824 artists left
