Starting data collection at: 1529388003859
Connecting to database...
Connected
Spotify access token retrieved
Selected 256774 IDs from artist_info table
1529388006993: 256774 artists left
1529388007998: 256724 artists left
1529388009000: 256674 artists left
1529388010003: 256624 artists left
1529388011005: 256574 artists left
1529388012007: 256524 artists left
1529388013018: 256474 artists left
1529388014019: 256424 artists left
1529388015021: 256374 artists left
1529388016023: 256324 artists left
1529388017025: 256274 artists left
1529388018028: 256224 artists left
1529388019031: 256174 artists left
1529388020032: 256124 artists left
1529388021034: 256074 artists left
1529388022036: 256024 artists left
1529388023039: 255974 artists left
1529388024040: 255924 artists left
1529388025042: 255874 artists left
1529388026044: 255824 artists left
1529388027045: 255774 artists left
1529388028048: 255724 artists left
1529388029050: 255674 artists left
1529388030052: 255624 artists left
1529388031053: 255574 artists left
1529388032054: 255524 artists left
1529388033057: 255474 artists left
1529388034059: 255424 artists left
1529388035061: 255374 artists left
1529388036062: 255324 artists left
1529388037063: 255274 artists left
1529388038066: 255224 artists left
1529388039068: 255174 artists left
1529388040071: 255124 artists left
1529388041072: 255074 artists left
1529388042074: 255024 artists left
1529388043077: 254974 artists left
1529388044080: 254924 artists left
1529388045080: 254874 artists left
1529388046082: 254824 artists left
1529388047083: 254774 artists left
1529388048086: 254724 artists left
1529388049089: 254674 artists left
1529388050090: 254624 artists left
1529388051092: 254574 artists left
1529388052095: 254524 artists left
1529388053097: 254474 artists left
1529388054100: 254424 artists left
1529388055101: 254374 artists left
1529388056103: 254324 artists left
1529388057105: 254274 artists left
1529388058108: 254224 artists left
1529388059110: 254174 artists left
1529388060112: 254124 artists left
1529388061113: 254074 artists left
1529388062114: 254024 artists left
1529388063118: 253974 artists left
1529388064121: 253924 artists left
1529388065122: 253874 artists left
1529388066124: 253824 artists left
1529388067126: 253774 artists left
1529388068138: 253724 artists left
1529388069141: 253674 artists left
1529388070142: 253624 artists left
1529388071144: 253574 artists left
1529388072146: 253524 artists left
1529388073150: 253474 artists left
1529388074151: 253424 artists left
1529388075153: 253374 artists left
1529388076155: 253324 artists left
1529388077157: 253274 artists left
1529388078160: 253224 artists left
1529388079163: 253174 artists left
1529388080167: 253124 artists left
1529388081168: 253074 artists left
1529388082170: 253024 artists left
1529388083173: 252974 artists left
1529388084175: 252924 artists left
1529388085177: 252874 artists left
1529388086179: 252824 artists left
1529388087182: 252774 artists left
1529388088184: 252724 artists left
1529388089186: 252674 artists left
1529388090189: 252624 artists left
1529388091190: 252574 artists left
